county,fips,cases,deaths,cfr
Abbeville,4635103.0,3616,0,0.0
Acadia,2200100.0,27844,1484,0.05329694009481396
Accomack,5202102.0,50023,692,0.013833636527197489
Ada,1744109.0,73030,1574,0.02155278652608517
Adair,10552387.0,17326,1395,0.08051483319866097
Adams,30906314.0,271894,10500,0.03861799083466351
Addison,5100102.0,5541,152,0.02743187150333875
Aiken,4590306.0,13666,548,0.04009951704961218
Aitkin,1998074.0,487,0,0.0
Alachua,1344112.0,34336,489,0.01424161230195713
Alamance,3663099.0,29184,1198,0.041049890350877194
Alameda,726121.0,238986,6903,0.028884537169541313
Alamosa,760285.0,5253,184,0.03502760327431944
Albany,9392207.0,128209,8785,0.06852093066789383
Albemarle,5151303.0,14423,422,0.02925882271372114
Alcona,1976076.0,879,61,0.06939704209328783
Alcorn,2576276.0,1504,62,0.041223404255319146
Aleutians East Borough,42273.0,36,0,0.0
Aleutians West Census Area,52416.0,97,0,0.0
Alexander,4679501.0,2971,0,0.0
Alexandria city,5666100.0,116470,2664,0.022872842792135313
Alfalfa,3120234.0,78,0,0.0
Alger,520060.0,36,0,0.0
Allamakee,2033535.0,8119,302,0.03719669910087449
Allegan,2626505.0,14621,294,0.020108063743929965
Allegany,5952407.0,15184,946,0.06230242360379347
Alleghany,8184930.0,2427,78,0.032138442521631644
Allegheny,4536324.0,140960,10499,0.07448212258796821
Allen,10081200.0,134474,8589,0.06387108288591103
Allendale,4050450.0,2230,177,0.07937219730941704
Alpena,2080560.0,6655,601,0.09030803906836965
Alpine,552276.0,144,0,0.0
Amador,612510.0,772,0,0.0
Amelia,4896672.0,1991,70,0.03515821195379206
Amherst,5100900.0,1772,4,0.002257336343115124
Amite,2632470.0,3874,86,0.02219927723283428
Anchorage,222200.0,20711,396,0.01912027425039834
Anderson,17091602.0,42762,910,0.02128057621252514
Andrew,2320240.0,1585,0,0.0
Andrews,4176261.0,2178,0,0.0
Androscoggin,2530110.0,17552,182,0.01036918869644485
Angelina,4608480.0,14377,198,0.013771996939556235
Anne Arundel,2616327.0,247437,10904,0.044067782910397396
Anoka,3024336.0,78369,3933,0.05018566014623129
Anson,3367637.0,4416,33,0.007472826086956522
Antelope,2852276.0,467,6,0.01284796573875803
Antrim,2392828.0,989,1,0.0010111223458038423
Apache,404101.0,90571,2358,0.02603482350862859
Appanoose,1824672.0,809,216,0.2669962917181706
Appling,1196092.0,10126,751,0.07416551451708474
Appomattox,4335935.0,1978,0,0.0
Aransas,4128602.0,374,0,0.0
Arapahoe,904565.0,292734,18679,0.0638087820342017
Archer,2208414.0,108,0,0.0
Archuleta,736644.0,666,0,0.0
Arenac,2367001.0,2282,81,0.03549517966695881
Arkansas,465093.0,527,0,0.0
Arlington,5662443.0,131352,6402,0.048739265485108714
Armstrong,7813337.0,4796,293,0.06109257714762302
Aroostook,2024264.0,682,39,0.05718475073313783
Ascension,2332530.0,64800,3949,0.06094135802469136
Ashe,3219783.0,2016,20,0.00992063492063492
Ashland,9061793.0,1754,4,0.002280501710376283
Ashley,465279.0,2132,19,0.008911819887429643
Ashtabula,3978714.0,20042,2059,0.10273425805807804
Asotin,4664264.0,1414,134,0.09476661951909476
Assumption,2266721.0,19137,765,0.039974917698698854
Atascosa,4657261.0,2797,110,0.03932785126921702
Atchison,4595935.0,1549,0,0.0
Athens,3744864.0,1077,92,0.08542246982358404
Atkinson,1105255.0,3238,110,0.033971587399629403
Atlantic,3536104.0,137090,8960,0.0653585235976366
Atoka,3560445.0,342,0,0.0
Attala,2828707.0,17596,870,0.049443055239827234
Audrain,2088504.0,4226,33,0.007808802650260294
Audubon,1748828.0,747,49,0.06559571619812583
Auglaize,3667034.0,4612,225,0.04878577623590633
Augusta,4591350.0,7346,96,0.013068336509665124
Aurora,4370285.0,1219,0,0.0
Austin,4657455.0,2034,0,0.0
Autauga,98098.0,15007,368,0.024521889784767107
Avery,1554462.0,194,0,0.0
Avoyelles,2222909.0,10515,644,0.06124583927722301
Baca,752846.0,1012,0,0.0
Bacon,1209465.0,7431,167,0.022473422150450815
Bailey,2688952.0,1732,7,0.0040415704387990765
Baker,4814062.0,4939,475,0.09617331443612068
Baldwin,1422233.0,46296,2012,0.0434594781406601
Ballard,1743581.0,795,0,0.0
Baltimore,2664555.0,396341,20975,0.05292160033910193
Baltimore city,2622570.0,347395,15921,0.04582967515364355
Bamberg,4095819.0,2237,3,0.0013410818059901655
Bandera,3937558.0,551,0,0.0
Banks,1197012.0,5063,19,0.0037527157811574167
Banner,651147.0,21,0,0.0
Bannock,1568490.0,2705,29,0.010720887245841035
Baraga,1950975.0,88,0,0.0
Barber,1680588.0,84,0,0.0
Barbour,4948530.0,10818,130,0.012017008689221667
Barnes,3572282.0,561,0,0.0
Barnstable,2700108.0,96265,7036,0.07308990806627538
Barnwell,4141012.0,3028,46,0.015191545574636724
Barren,1911819.0,3120,60,0.019230769230769232
Barron,4840440.0,1246,0,0.0
Barrow,1301300.0,21286,1006,0.04726111058911961
Barry,5383370.0,5619,117,0.020822210357714897
Bartholomew,1908530.0,32422,2441,0.07528838443032508
Barton,2372028.0,2724,80,0.02936857562408223
Bartow,1444665.0,36887,2795,0.07577195217827419
Bastrop,4850121.0,14526,224,0.015420625086052596
Bates,2930313.0,708,78,0.11016949152542373
Bath,1869979.0,569,61,0.10720562390158173
Baxter,475475.0,748,0,0.0
Bay,4048358.0,29230,1538,0.05261717413616148
Bayfield,5665721.0,288,73,0.2534722222222222
Baylor,1200575.0,30,0,0.0
Beadle,5152560.0,15652,285,0.018208535650396117
Beaufort,8414652.0,38357,1010,0.02633156920509946
Beauregard,2223111.0,6369,335,0.05259852410111478
Beaver,8506338.0,42113,5278,0.12532947070975708
Beaverhead,2610087.0,87,0,0.0
Becker,2160400.0,2271,0,0.0
Beckham,3680828.0,496,0,0.0
Bedford,13484010.0,28008,493,0.017602113681805198
Bee,3986075.0,1155,0,0.0
Belknap,3432104.0,4475,18,0.004022346368715084
Bell,6138502.0,31588,407,0.012884639736608838
Belmont,4213404.0,25104,913,0.03636870618228171
Beltrami,2565665.0,1100,0,0.0
Ben Hill,1275666.0,5075,47,0.009261083743842364
Benewah,576324.0,590,0,0.0
Bennett,690105.0,43,0,0.0
Bennington,5750345.0,4890,83,0.016973415132924337
Benson,2052270.0,106,0,0.0
Bent,408561.0,121,0,0.0
Benton,26490917.0,146448,5686,0.038826067955861465
Benzie,1899387.0,330,0,0.0
Bergen,4012354.0,1419926,111866,0.0787829788312912
Berkeley,9883824.0,44930,1522,0.033874916536835074
Berks,4369144.0,276905,17991,0.0649717412108846
Berkshire,2875345.0,43822,3117,0.07112865683903062
Bernalillo,3885111.0,102175,4624,0.045255688769268415
Berrien,3825869.0,47960,2854,0.05950792326939116
Bertie,3590455.0,7102,236,0.03323007603491974
Bethel Census Area,172200.0,242,0,0.0
Bexar,6676031.0,251780,5440,0.021606164111525935
Bibb,1433807.0,38824,1690,0.043529775396661856
Bienville,2223313.0,9661,1499,0.1551599213331953
Big Horn,6854480.0,2178,54,0.024793388429752067
Big Stone,2674089.0,486,0,0.0
Billings,380070.0,10,0,0.0
Bingham,1633122.0,991,0,0.0
