county,fips,cases,deaths,cfr
Abbeville,1305029.0,147,0,0.0
Acadia,572026.0,1450,55,0.03793103448275862
Accomack,1428028.0,222,0,0.0
Ada,560035.0,7958,95,0.011937672782106057
Adair,2486091.0,846,35,0.041371158392434985
Adams,7351294.0,11470,312,0.027201394943330428
Addison,1400028.0,853,5,0.005861664712778429
Aiken,1260084.0,680,24,0.03529411764705882
Alachua,456038.0,3065,0,0.0
Alamance,925025.0,481,0,0.0
Alameda,282047.0,14116,339,0.024015301785208273
Alamosa,168063.0,94,16,0.1702127659574468
Albany,2584059.0,8353,202,0.0241829282892374
Albemarle,1377081.0,726,0,0.0
Alcona,52002.0,2,0,0.0
Alcorn,504054.0,101,0,0.0
Alexander,683057.0,39,0,0.0
Alexandria city,1854360.0,2527,20,0.007914523149980214
Alfalfa,160012.0,4,0,0.0
Allamakee,627165.0,387,24,0.06201550387596899
Allegan,702135.0,280,0,0.0
Allegany,1512111.0,519,9,0.017341040462427744
Alleghany,1672190.0,83,0,0.0
Allegheny,1428102.0,13029,229,0.01757617622227339
Allen,2380297.0,3409,244,0.0715752420064535
Allendale,720080.0,48,0,0.0
Alpena,156042.0,7,0,0.0
Alpine,108054.0,29,0,0.0
Amador,168140.0,76,0,0.0
Amelia,1122154.0,127,0,0.0
Amherst,1326234.0,145,0,0.0
Amite,616110.0,162,18,0.1111111111111111
Anchorage,72720.0,2086,61,0.029242569511025888
Anderson,4256428.0,1991,104,0.052235057759919636
Andrew,174018.0,6,0,0.0
Andrews,864054.0,138,0,0.0
Androscoggin,828036.0,453,2,0.004415011037527594
Angelina,1056110.0,231,0,0.0
Anne Arundel,840105.0,8648,243,0.028098982423681775
Anoka,1026114.0,969,0,0.0
Anson,629119.0,116,0,0.0
Antelope,558054.0,18,0,0.0
Antrim,468162.0,103,0,0.0
Apache,108027.0,942,30,0.03184713375796178
Appanoose,418154.0,23,12,0.5217391304347826
Appling,234018.0,133,0,0.0
Appomattox,561121.0,58,0,0.0
Aransas,720105.0,26,0,0.0
Arapahoe,312195.0,15239,432,0.02834831681868889
Archuleta,144126.0,78,0,0.0
Arenac,442187.0,62,0,0.0
Arkansas,95019.0,30,0,0.0
Arlington,1887481.0,5111,69,0.01350029348464097
Armstrong,1152153.0,329,6,0.0182370820668693
Aroostook,322042.0,25,0,0.0
Ascension,704160.0,6529,280,0.042885587379384284
Ashe,481117.0,36,0,0.0
Ashland,2105201.0,105,0,0.0
Ashley,95057.0,120,0,0.0
Ashtabula,1092196.0,376,12,0.031914893617021274
Asotin,742042.0,66,0,0.0
Assumption,638203.0,1463,8,0.005468215994531784
Atascosa,1104299.0,103,0,0.0
Atchison,969195.0,61,0,0.0
Athens,858198.0,61,18,0.29508196721311475
Atkinson,143033.0,31,0,0.0
Atlantic,1020030.0,3095,83,0.026817447495961228
Atoka,600075.0,15,0,0.0
Attala,756189.0,341,0,0.0
Audubon,342162.0,18,0,0.0
Auglaize,780220.0,165,8,0.048484848484848485
Augusta,816240.0,187,0,0.0
Aurora,966063.0,21,0,0.0
Austin,1104345.0,126,0,0.0
Autauga,24024.0,299,12,0.04013377926421405
Avoyelles,594243.0,888,22,0.024774774774774775
