LoginID,Logins
webirc,8902
Hex,2165
twelve,1787
Ace,1699
native,1685
Mutter,1640
androirc,1273
resistant,999
S1rLancelot,959
shes,861
scribbler,855
root,809
John297,807
doe896,802
NOPLama,791
maxmuster,766
Riotday,717
Android,691
Dzl,672
W4RL0RD,662
EvilAnons,625
target,614
textual,608
__desu__3,607
HAL,572
mickers,563
ranbo2,559
oida,544
Semtex,507
VEGA,505
gmago,476
quassel,475
emma,466
mercy,465
user,457
ajak,457
peak,456
S1gh7,427
kosmos,427
L1gh7,419
fatalhalt,408
Whoops,402
disorder,399
Winston,395
Condor,388
stephen,380
logical,349
ilt,340
S0ldierF0re,339
Unknown,335
exp,330
.,329
karigar,325
hello,317
drasnah,304
colmustard,304
r00t,302
bastard,294
dafuq,291
anona,283
remote,280
frost,278
kernelpanic,275
cip,272
spacefan,270
why,267
spider876,267
snap,266
Anon,260
irishsec,254
NopeOut,252
Typhon,250
k,249
someone,246
dawg,243
anon_lulz,241
Beowulf,241
c,237
me,236
uz3r,235
devbaka,228
dmt,224
pi,223
just,222
dolly,219
zguy300,218
home,218
Ice,215
ntwc,214
steven,213
anakin,212
taibehax,209
dsr,209
n3m3sys,208
drezet,206
malware,204
n_,202
Philip_J_Fr,200
brute,195
ClaudiaD,195
Stephen,193
a,191
GoFuck,189
NeoHacktivi,188
mickey,185
tempest,182
pack3tz,180
hip,180
fractal,178
wa7ch,178
re,175
Hydr4_,172
RUA1orA0,169
arc3v1l,169
MoarLeax,169
Mercy,167
offs3tzer0,167
gorias,162
goaway,162
rtvdrv,161
toolate,161
AndChat1124,158
DogmaCreed,154
prap,152
l0new0lf,150
torbits,148
satan,148
_scriptbitc,148
abradolf,146
alex,145
AndChat3185,142
kerosene,142
Iggy,142
tonkpils,141
breth,137
Mavis,136
Mencomot,136
whoami,135
purring,134
lazy,134
devc,132
Mr_Keyser_S,132
Join.my,131
AhZ,131
Unbe,131
b4ph0met,130
scriptkiddo,130
LoganAyala,129
irishsec___,129
target_,129
idk,129
jereny12,127
s1xteen,127
x,126
yaaic,126
some,126
xeon,126
Nihilism,124
niv,124
anon,121
chucklz,120
discobash,120
AndChat1625,120
RaDiCaLiSt,119
mix,119
DMT,118
NewGuy,118
psychopath,117
come,116
multithr3d,116
LevAnon,116
zcv,115
UrNana,114
zebra,113
kpax,112
zappy,112
SynthMesc,111
Aech,111
mint,111
ishmael,111
cianigger,111
pequod,110
ethernaut,109
anonkek,109
gh0st,108
novak,108
H,108
AnonStand,107
Adon,106
esc,106
AzoozVirus,105
JHistone,105
Banksy,105
Darkmans,104
n3ws3r,104
Dybbuk,104
systemctl,104
OCSanic,104
boffin,104
iam,103
tAise,102
low3,102
hashcookie,101
ric0,101
chatzilla,101
pf100,99
newera,99
Sayano,98
_dwong879,98
aghular,98
Phazor,98
cyanic___,96
Jon_snow,95
i.,94
{Blank],94
dinner,94
Firecore,93
dd,93
NDDr0ner,93
SteppenWolf,93
kabam,92
FROGSKINS,92
admin,91
Fever,91
Henryk,90
RiggedHorro,89
drakoniano,87
zippy,87
Loy,86
fish,86
my.love,85
cookie,84
MT,84
bloodmoney,83
jester,83
Quinn,83
Meow,82
idow,80
CrazyParrot,80
keddy,80
unknown,80
thundercunt,80
sdfhoshfo,79
pocket,78
Molly,77
zipadee,76
Sakkinen,76
Anonymous,76
flawn,76
DefiantDave,75
soul,75
titihz5,75
Its,74
Admin,74
G3nn1,74
re4per,73
The_Snowman,72
devil260,72
Demonio,72
