Username,Message Count
guapo,11972
sTrikEforCe,5305
BOFH,4449
lazarus,3923
DeTH,3544
catface,2939
dd_,2927
Meow,2627
Cogitabundus,2609
ubiquitous,2549
keddy,2365
maxmuster,2261
dedocne,1911
zombie,1671
twelve,1532
kod,1438
malware,1426
satan,1331
phusion,1246
aris,1227
v1,1216
zed,1183
lolobai,972
HER0,863
fragile,858
an0ndawg,857
MuNk,841
TechsupportBro,765
Numb3rz,694
derp,684
dmt,663
ack,649
catface_,647
zguy300,634
AO,633
kaijectorsf,631
Lazarus,616
Arka0s,611
|Dawg|,607
Freak,604
Hera,604
evilbox,602
gala,588
mickers,581
Iggy,579
FR13ND,577
Rockefeller,567
BlueBomber,567
nemecy,565
Dzl,558
iCeland,535
En1gm1s7,529
intravenous,528
jyf,515
deadpool,504
Nemesys,501
verax,499
fr33dom,497
Winston,493
dsr,490
z0rk,486
cookie,476
plague,462
North_Star,448
NotYourDope,442
multithr3d,440
jealousy,440
Semtex,421
raddox,417
target_,397
LeFibonacci,396
ishmael,394
Llocker,390
spider876,389
someone25572,387
LevAnon,385
D3M3n70R,383
hypnotic,382
AOK,377
levim,370
sniperwolf,354
B4nksy,354
nemesys,350
DRes,350
Huno,345
phr34k,343
atomic,340
darko,340
russian,332
zipperneck,331
bloodmoney,330
a,326
zippy,325
Stephen,322
yasbarh,321
PottyLarry,317
Rown,317
import,314
RaDiCaLiSt,312
snap,312
cider,312
Nightowl,307
sebastian,306
Gen0cide,304
Igssga,303
Sh3llm4sk,303
Screamfox2016,302
blahblahblacksheep,301
TanDav,298
Logical,295
Case,293
Cand0r,292
CookieMonster,288
UnitedSecTeam,288
pocket,277
higuys,277
Nightowl101,277
NAVA,269
cryptcat,267
Animosity,264
hakk,263
pwn_that_fuck,263
menog,263
dl,258
petra,257
z0mb1es,257
hello,256
NewAnon,254
eth666,253
AYB,249
FrostRobin1,248
S1rLancelot,243
BloodMoney,239
ayeitsEFF,239
vyro,239
de_tail,239
Bobseviltwin,236
samus,235
defeatcorruption,234
