Color,Price,Retail_Price,Sold,Rating,Merchant,Ad,Picture,Freq,Over_Under
black,10.34878377483444,30.943940397350975,5239.44701986755,3.8852649006622513,4.061778374781457,0.4503311258278146,0.15562913907284767,302,-20.595156622516534
white,9.491608661417319,29.590708661417313,4418.216535433071,3.8146062992125978,4.036620073539371,0.40551181102362205,0.13385826771653545,254,-20.099099999999993
yellow,9.84787333333333,20.626666666666672,2116.304761904762,3.757809523809524,3.986831865619047,0.45714285714285713,0.17142857142857143,105,-10.778793333333342
blue,10.056702020202025,29.08888888888888,3194.3232323232323,3.709696969696969,3.997192093929294,0.37373737373737376,0.12121212121212122,99,-19.032186868686857
pink,9.315536363636362,21.840707070707065,2611.1111111111113,3.64989898989899,3.975005951979799,0.42424242424242425,0.1414141414141414,99,-12.525170707070703
red,10.193053763440865,25.437849462365598,3164.516129032258,3.7556989247311843,4.015729127043009,0.40860215053763443,0.11827956989247312,93,-15.244795698924733
green,9.292313333333336,26.946888888888896,3239.366666666667,3.853222222222221,4.003134609422222,0.5111111111111111,0.24444444444444444,90,-17.65457555555556
grey,8.54839014084507,20.146197183098593,6143.521126760564,3.910985915492957,4.02325731856338,0.4788732394366197,0.056338028169014086,71,-11.597807042253523
purple,8.77995471698113,25.394150943396223,6386.415094339623,3.990754716981131,4.0412191064528304,0.3584905660377358,0.18867924528301888,53,-16.614196226415093
armygreen,8.92538387096774,33.93419354838709,2377.451612903226,3.640967741935484,4.0579484413548395,0.3548387096774194,0.16129032258064516,31,-25.00880967741935
navyblue,10.761849999999997,17.084999999999997,5307.5,3.9317857142857138,3.9580906645357143,0.5714285714285714,0.07142857142857142,28,-6.32315
winered,10.081,29.665000000000003,2653.5714285714284,3.6724999999999994,3.9733906927500002,0.39285714285714285,0.07142857142857142,28,-19.584000000000003
orange,8.813492592592594,39.137777777777785,7141.037037037037,3.7,3.9826532081481476,0.3333333333333333,0.14814814814814814,27,-30.32428518518519
multicolor,11.049150000000001,31.118499999999994,5570.0,3.979,4.1090160297,0.4,0.2,20,-20.069349999999993
beige,12.646299999999997,43.00999999999999,2835.714285714286,3.8778571428571427,4.057355375071428,0.42857142857142855,0.14285714285714285,14,-30.363699999999994
khaki,9.782791666666666,36.79083333333333,6033.333333333333,3.976666666666666,4.03095928475,0.75,0.16666666666666666,12,-27.008041666666664
lightblue,9.52,21.42,654.1666666666666,3.501666666666667,3.9672439677500004,0.5833333333333334,0.0,12,-11.900000000000002
gray,8.438181818181818,32.129999999999995,6586.363636363636,3.808181818181818,4.028286397181819,0.5454545454545454,0.0,11,-23.691818181818178
white & green,9.52,9.401,585.0,4.053,3.8807695912,0.0,0.0,10,0.11899999999999977
skyblue,11.007499999999997,20.23,4775.0,3.8275,3.978029730125,0.5,0.0,8,-9.222500000000004
rosered,12.316500000000001,19.783749999999998,5512.5,3.9587500000000007,3.98871837975,0.5,0.25,8,-7.467249999999996
brown,11.729999999999999,35.53000000000001,3621.4285714285716,3.532857142857143,3.9565421491428565,0.2857142857142857,0.14285714285714285,7,-23.80000000000001
coffee,8.67,8.16,928.5714285714286,3.8285714285714283,3.995277366857143,0.8571428571428571,0.0,7,0.5099999999999998
darkblue,11.503333333333332,38.08,1735.0,3.7283333333333335,4.222852472333334,0.8333333333333334,0.16666666666666666,6,-26.576666666666668
rose,6.426,16.66,2060.0,3.45,3.8776323372,0.4,0.4,5,-10.234
floral,11.352599999999999,41.65,12200.0,4.112,4.088257745600001,0.8,0.0,5,-30.2974
black & green,10.09715,9.52,3250.0,3.8225000000000002,4.1402702179999995,0.5,0.25,4,0.5771499999999996
navy,10.5196,36.89,2575.0,3.8500000000000005,3.96819758875,0.25,0.25,4,-26.3704
fluorescentgreen,2.0467999999999997,2.38,100.0,3.885,3.9142077344999997,0.75,0.0,4,-0.33320000000000016
leopard,16.9575,34.8075,3250.0,4.05,4.06852750775,0.5,0.0,4,-17.849999999999998
lightpink,12.093375,30.6425,3787.5,4.0925,3.95766263825,0.5,0.25,4,-18.549124999999997
Black,11.9,68.62333333333333,2333.3333333333335,3.7733333333333334,4.019736917666667,0.0,0.0,3,-56.723333333333336
White,11.070966666666665,32.13,8666.666666666666,3.8800000000000003,4.099924658666667,0.3333333333333333,0.0,3,-21.05903333333334
orange-red,14.280000000000001,103.92666666666666,1733.3333333333333,3.5533333333333332,4.228777229333333,0.3333333333333333,0.3333333333333333,3,-89.64666666666666
black & white,12.693333333333333,11.503333333333332,10033.333333333334,4.266666666666667,4.055956265666667,0.6666666666666666,0.3333333333333333,3,1.1900000000000013
camouflage,13.883333333333335,12.296666666666667,6700.0,4.25,4.292136265333333,0.0,0.3333333333333333,3,1.5866666666666678
lightgreen,6.663999999999999,5.95,7333.333333333333,3.9899999999999998,4.110619453000001,1.0,0.0,3,0.7139999999999986
pink & white,15.469999999999999,13.09,100.0,4.35,4.0476190480000005,0.0,0.0,2,2.379999999999999
white & black,9.52,113.04999999999998,5500.0,3.9299999999999997,3.9685862184999996,0.0,0.0,2,-103.52999999999999
mintgreen,9.52,14.875,1000.0,3.34,4.065780966,0.5,0.0,2,-5.355
