,Color,Price,Retail_Price,Sold,Rating,Merchant,Ad,Picture,Origin
0,white,19.04,16.66,100,3.76,4.128521127,0,0,CN
1,green,9.52,26.18,20000,3.45,3.899673276,1,0,CN
2,leopardprint,9.52,51.169999999999995,100,3.57,3.9898305080000003,0,0,CN
3,black,9.52,9.52,5000,4.03,4.02043471,1,0,CN
4,yellow,3.2368,3.57,100,3.1,4.001588178,1,0,CN
5,navyblue,4.6648,10.709999999999999,10,5.0,3.507692308,0,0,CN
6,white,8.33,7.14,50000,3.84,4.076515597,0,1,CN
7,blue,14.28,13.09,1000,3.76,3.68128655,0,0,CN
8,black,13.09,99.96,100,3.47,3.8030303030000003,1,0,CN
9,beige,6.8782,26.18,5000,3.6,3.999819299,0,0,CN
10,grey,6.8900999999999994,5.949999999999999,1000,3.46,3.956810982,0,0,CN
11,lightblue,7.14,9.52,100,3.31,3.983783784,1,0,CN
12,orange,2.2729,7.14,1000,3.45,4.123877917,1,0,CN
13,red,6.8900999999999994,49.98,1000,3.32,3.947471965,0,0,CN
14,yellow,2.38,2.38,20000,3.65,4.138885385,1,0,CN
15,Black,13.09,96.39,1000,3.92,4.066326401,0,0,CN
16,red,13.09,11.899999999999999,10000,3.72,3.9584258969999997,0,0,CN
17,white,5.949999999999999,29.75,100000,3.83,3.933581377,1,0,CN
18,blue,10.709999999999999,10.709999999999999,20000,3.82,4.081624338,0,0,CN
19,red,8.33,8.33,1000,3.67,4.062360802,0,0,CN
20,green,13.09,11.899999999999999,5000,3.84,4.25659706,0,0,CN
21,black,5.949999999999999,7.14,20000,3.6,3.981336637,0,1,CN
22,armygreen,13.09,30.939999999999998,1000,3.38,4.231842338,0,0,CN
23,armygreen,8.33,7.14,5000,3.67,4.264658502,1,0,CN
24,black,6.794899999999999,5.949999999999999,1000,3.75,4.00669222,0,0,CN
25,armygreen,10.709999999999999,38.08,1000,4.15,4.110058542,0,0,CN
26,,10.709999999999999,10.709999999999999,1000,4.03,4.229409027,0,0,US
27,white,6.7235000000000005,5.949999999999999,20000,4.29,4.017487727,0,0,CN
28,pink,2.0705999999999998,2.38,100,4.25,3.8315139489999996,1,0,CN
29,white,6.7235000000000005,7.14,1000,4.06,4.060278647,0,0,CN
30,,16.66,90.44,100,4.06,3.9682687999999993,0,1,CN
31,black,6.7235000000000005,7.14,1000,4.37,4.065905391,1,0,CN
32,khaki,9.52,8.33,1000,3.81,3.8708092489999997,0,0,CN
33,black,3.1654,3.57,5000,3.44,4.306362806,0,0,CN
34,yellow,10.709999999999999,9.52,10000,3.8,3.86754717,0,0,CN
35,white,13.09,11.899999999999999,1000,4.16,4.00014341,0,0,CN
36,blue,9.52,20.23,100,2.75,4.025364207,1,0,CN
37,navyblue,16.66,14.28,5000,4.06,4.00669222,1,0,CN
38,armygreen,6.901999999999999,9.52,100,3.83,3.9208529960000003,1,0,CN
39,pink,15.469999999999999,15.469999999999999,1000,4.16,3.981336637,0,1,CN
40,black,10.709999999999999,96.39,50000,4.26,4.105054225,0,0,CN
41,white,8.33,80.92,10,1.5,3.858942065,0,0,CN
42,black,14.28,16.66,100,3.79,4.020408163,1,0,CN
43,grey,4.3911,47.599999999999994,100,3.53,4.364843822,0,0,CN
44,white,5.949999999999999,5.949999999999999,10000,3.82,4.151395306,1,0,CN
45,armygreen,6.949599999999999,66.64,100,3.28,4.017487727,0,0,CN
46,green,19.04,16.66,10,3.0,3.548387097,0,0,CN
47,red & blue,15.469999999999999,59.5,1000,4.03,4.085704904,0,1,CN
48,white,10.709999999999999,9.52,10000,3.18,3.9085354210000003,0,0,CN
49,black,8.33,7.14,100,3.8,4.216385998,0,0,CN
50,white,13.09,23.799999999999997,100,3.43,4.174679487,0,0,CN
51,blue,6.949599999999999,13.09,1000,4.19,4.1727859689999995,0,0,CN
52,blue,1.19,13.09,1000,3.8,3.858118824,1,0,CN
53,white,13.09,71.39999999999999,1000,3.38,3.9601706969999997,1,0,CN
54,blue & pink,10.709999999999999,9.52,5000,4.03,4.10884906,1,0,CN
55,RED,7.14,66.64,1000,3.5,3.876699977,1,0,CN
56,white,1.19,11.899999999999999,100,3.56,3.8379369430000003,0,1,
57,orange,10.709999999999999,9.52,5000,4.06,3.9993714039999997,0,1,CN
58,white & green,7.14,7.14,100,4.0,3.874015748,0,0,CN
59,red,13.09,80.92,1000,4.13,4.215228076,0,0,CN
60,blue,8.33,7.14,50,4.0,4.352941176,0,0,CN
61,khaki,5.949999999999999,45.22,50,5.0,3.666666667,1,0,CN
62,yellow,3.2368,3.57,100,3.1,4.001588178,1,0,CN
63,white,6.9853,13.09,1000,3.91,4.391304348,1,0,CN
64,white,13.09,11.899999999999999,5000,3.72,4.2680022619999995,0,1,CN
65,red,9.52,11.899999999999999,100,2.71,3.892857143,0,0,CN
66,blue,16.66,79.72999999999999,1000,3.81,4.1507563030000005,0,1,CN
67,white,2.38,10.709999999999999,100,3.47,4.167627677,0,0,CN
68,yellow,9.52,8.33,10000,3.93,4.137581778,1,1,CN
69,white,6.8900999999999994,35.699999999999996,1000,3.41,4.1898438989999995,1,1,CN
70,winered,9.52,26.18,100,3.74,3.8767616069999997,1,0,CN
71,black & green,5.8786000000000005,5.949999999999999,10000,3.93,4.121483743,1,1,CN
72,orange,9.52,8.33,10000,3.82,3.872009976,0,0,CN
73,black,13.09,11.899999999999999,100,3.46,4.301120485,1,0,CN
74,black,9.52,39.269999999999996,10,5.0,4.169786096,0,0,CN
75,white,10.709999999999999,39.269999999999996,50,4.5,4.120281053,1,0,CN
76,armygreen,8.33,7.14,100,4.26,3.8379562039999997,0,1,CN
77,purple,13.09,11.899999999999999,10000,4.24,4.289673913000001,0,0,CN
78,yellow,9.52,109.47999999999999,100,3.56,3.9680610510000003,0,0,CN
79,whitefloral,6.9376999999999995,5.949999999999999,10000,4.22,4.146957347,1,1,CN
80,pink,9.52,8.33,1000,3.42,3.9652042360000004,0,0,CN
81,armygreen,6.866299999999999,5.949999999999999,100,4.0,3.9157403289999997,1,0,CN
82,grey,7.021,5.949999999999999,10000,3.64,3.951817413,0,0,CN
83,red,7.14,23.799999999999997,100,3.08,3.931195965,0,0,CN
84,green,8.33,7.14,50000,4.41,4.146957347,1,1,CN
85,pink,9.52,8.33,10000,3.7,3.9375299189999997,1,0,CN
86,black & green,14.28,13.09,1000,3.81,4.150355872,0,0,CN
87,pink,6.8782,9.52,20000,4.0,4.1841342489999995,1,0,CN
88,white,14.28,20.23,5000,3.94,3.97826087,0,0,CN
89,floral,13.09,11.899999999999999,20000,4.07,3.965700632,1,0,CN
90,pink,9.52,60.69,100,4.29,3.832535067,0,0,CN
91,black,13.09,11.899999999999999,100,3.46,4.301120485,1,0,CN
92,black,6.866299999999999,57.12,100000,4.1,4.067347648999999,0,1,CN
93,grey,10.709999999999999,9.52,20000,3.7,4.064643128999999,0,0,CN
94,fluorescentgreen,2.0467999999999997,2.38,100,3.77,3.884543646,1,0,CN
95,pink,2.2134,10.709999999999999,100,3.57,3.9430187639999996,1,0,CN
96,black,16.66,109.47999999999999,100,4.54,4.185185185,1,0,CN
97,red,4.3911,4.76,1000,3.64,4.039127646,0,0,CN
98,red,6.8900999999999994,49.98,1000,3.32,3.947471965,0,0,CN
99,orange & camouflage,13.09,35.699999999999996,100,4.11,4.2104601189999995,1,0,CN
100,red,10.709999999999999,9.52,100,3.18,3.729166667,1,0,CN
101,black,7.14,9.52,10000,3.96,3.80168428,0,1,CN
102,green,23.799999999999997,20.23,100,2.8,3.298507463,1,0,CN
103,black,6.7354,5.949999999999999,5000,3.89,4.285597736000001,0,0,CN
104,white,9.52,77.35,100,3.97,3.882845188,0,0,CN
105,lightyellow,9.52,8.33,1000,3.61,4.098557219,1,0,CN
106,grey,7.14,7.14,1000,3.82,3.8447761189999996,1,0,CN
107,black,13.09,11.899999999999999,5000,3.96,4.252711497,0,0,CN
108,white,8.33,7.14,1000,4.2,3.9433198380000003,1,0,CN
109,red,13.09,11.899999999999999,10000,3.77,4.00014341,0,0,CN
110,green,6.913899999999999,35.699999999999996,100,2.61,3.8947607000000004,0,0,CN
111,blue,16.66,14.28,10000,3.93,3.885537769,0,0,CN
112,black,5.949999999999999,60.69,10,5.0,3.9898305080000003,0,0,CN
113,coolblack,5.949999999999999,5.949999999999999,100,4.3,4.167978517,1,0,CN
114,multicolor,13.09,11.899999999999999,1000,4.12,3.851930137,0,1,CN
115,pink,14.28,79.72999999999999,10,3.67,4.008403361,0,0,CN
116,purple,6.759199999999999,5.949999999999999,10,4.5,4.5125,0,1,CN
117,black,13.09,11.899999999999999,100,4.0,4.014652015,1,0,VE
118,camouflage,20.23,17.849999999999998,10000,4.16,4.352612375,0,1,CN
119,purple,8.33,51.169999999999995,100,3.71,3.8781669969999997,0,0,CN
120,green,14.28,101.14999999999999,50,4.75,4.175438596,1,0,CN
121,black,8.33,7.14,100,5.0,3.970730702,0,0,CN
122,blue,8.33,39.269999999999996,50,3.0,4.001546268999999,0,0,CN
123,yellow,13.09,70.21,1000,4.11,4.057185406,0,1,CN
124,lightpink,14.28,51.169999999999995,100,3.59,3.9484090210000002,0,0,CN
125,yellow,15.469999999999999,60.69,5000,3.61,3.946416145,0,0,CN
126,orange,3.2368,10.709999999999999,1,5.0,3.597883598,0,0,CN
127,green,7.14,7.14,20000,3.99,4.10884906,1,0,CN
128,pink & black,10.709999999999999,66.64,100,4.03,3.714285714,1,0,US
129,yellow,5.949999999999999,5.949999999999999,50,5.0,3.75,0,0,CN
130,white,6.9734,5.949999999999999,1000,3.73,3.99301676,0,0,CN
131,green,2.38,2.38,10000,3.99,4.045170201,1,1,CN
132,grey,8.33,7.14,5000,4.38,3.9467909160000003,0,0,CN
133,black,6.7354,7.14,100,3.08,4.069015097,0,0,CN
134,pink,15.469999999999999,20.23,5000,4.11,3.9107416319999997,0,0,CN
135,yellow,9.52,8.33,5000,3.6,4.080890773999999,1,1,CN
